age,income,loan_amount,credit_score,employment_years,previous_defaults,debt_to_income_ratio,loan_status
26,141178,34052,613,24,4,0.12,1
48,56368,39414,374,2,1,0.35,1
48,26783,37781,578,15,1,0.65,1
64,131530,9599,475,1,0,0.49,1
64,61914,40046,572,27,4,0.28,1
40,90507,40923,588,23,1,0.59,1
50,147738,46089,571,9,4,0.5,1
31,99026,8814,365,5,1,0.66,1
48,135893,40984,782,21,4,0.61,1
45,131255,31616,547,25,2,0.53,1
59,130616,7113,455,10,4,0.44,1
53,87526,48006,346,22,4,0.19,1
21,90835,18760,753,6,0,0.28,0
47,65765,26927,500,26,2,0.39,1
33,39956,25939,423,28,3,0.52,1
61,107895,37419,300,14,0,0.46,1
23,66240,17588,490,5,3,0.3,1
59,141008,41142,815,19,1,0.1,0
26,57148,44198,741,26,3,0.45,1
28,114270,49738,442,8,4,0.3,1
47,147978,38397,490,21,3,0.61,1
29,24757,21653,832,19,0,0.12,0
57,39097,15831,526,11,0,0.51,1
53,30395,10724,612,18,3,0.76,1
62,36241,16083,601,19,0,0.22,0
64,123892,24816,759,2,0,0.43,0
44,47696,47240,700,14,3,0.16,1
35,135654,11276,692,1,2,0.54,1
52,90480,43663,506,29,2,0.49,1
52,66163,18994,509,20,1,0.39,1
44,39816,28499,414,1,0,0.46,1
61,69840,28040,550,21,3,0.73,1
32,122547,48320,518,2,0,0.24,1
59,72853,21959,706,5,4,0.12,1
22,44917,11099,742,14,0,0.7,1
23,116731,47267,653,26,0,0.5,0
57,41566,24576,849,9,2,0.72,1
37,95452,40946,441,8,3,0.52,1
22,82823,11116,800,0,0,0.67,1
22,141392,20563,846,15,2,0.4,1
48,40806,31788,841,5,1,0.62,1
43,95520,31928,806,8,2,0.74,1
57,21759,41336,580,26,2,0.5,1
52,146092,14847,723,3,2,0.23,1
53,61949,31155,569,26,0,0.29,1
21,112374,19135,453,27,0,0.24,1
39,22482,22774,382,1,1,0.27,1
22,44442,6742,725,28,4,0.31,1
64,53719,23309,574,3,4,0.49,1
46,78066,5619,583,0,4,0.51,1
52,113501,22658,472,18,1,0.4,1
26,22079,39707,626,25,4,0.53,1
52,22717,25337,362,24,4,0.16,1
24,79676,21001,372,9,2,0.16,1
31,47952,5968,674,20,0,0.22,0
37,106444,30892,807,14,0,0.46,0
58,62460,30619,697,26,2,0.25,1
44,110397,5281,419,21,2,0.3,1
25,92847,32420,736,18,2,0.38,1
54,113607,20360,764,15,0,0.67,1
26,109106,44030,585,20,4,0.11,1
42,38449,6058,564,26,2,0.55,1
31,53536,25677,619,23,1,0.57,1
36,84077,15724,675,21,2,0.66,1
53,58258,33404,388,3,3,0.75,1
29,68302,42946,502,1,2,0.11,1
26,145937,44748,633,29,0,0.21,0
36,48865,34856,521,24,2,0.72,1
49,26645,14200,340,12,3,0.42,1
23,139771,38997,367,27,1,0.5,1
40,58000,30611,813,0,4,0.56,1
56,46737,46235,426,16,2,0.58,1
39,31485,40057,554,12,3,0.75,1
46,58565,6239,315,3,3,0.8,1
23,45522,43138,776,6,1,0.6,1
39,139614,5125,361,16,0,0.3,1
40,85155,28857,731,8,2,0.72,1
52,75168,20398,567,3,3,0.13,1
27,72487,11638,334,18,1,0.26,1
61,149948,11570,793,0,4,0.73,1
53,32342,8249,768,9,3,0.28,1
60,60806,14110,624,3,1,0.25,0
59,68770,45363,603,8,0,0.2,0
38,98623,18605,575,12,0,0.7,1
60,123177,17115,500,13,3,0.45,1
21,119785,44062,744,9,3,0.57,1
31,95629,27911,623,5,2,0.27,1
48,140993,43525,334,15,1,0.63,1
45,72603,37556,781,5,3,0.63,1
43,146944,17595,779,16,2,0.32,1
51,132726,6969,364,9,2,0.39,1
50,101974,48753,307,17,3,0.25,1
62,125947,22275,600,26,0,0.78,1
55,46399,9470,642,21,1,0.55,1
27,148177,15225,730,17,1,0.75,1
36,105382,47324,723,2,0,0.31,0
46,101244,46974,631,19,3,0.65,1
22,129575,47759,737,26,1,0.64,1
21,135520,28196,473,20,3,0.58,1
32,130904,45287,826,24,3,0.78,1
25,96534,18669,325,27,2,0.38,1
57,75106,42380,705,14,0,0.19,0
52,132599,43006,531,14,3,0.57,1
29,50678,20577,832,3,4,0.61,1
61,96218,27473,849,28,0,0.5,0
55,83230,33625,804,26,1,0.24,0
39,134684,20504,478,8,2,0.45,1
36,94055,29089,431,26,1,0.32,1
23,76373,41487,754,25,1,0.4,0
40,51480,5302,647,18,0,0.55,1
44,105230,36463,839,23,1,0.62,1
53,88836,49912,705,27,3,0.26,1
44,92258,34259,375,16,1,0.38,1
31,59986,47823,791,10,2,0.29,1
28,44160,42208,493,24,2,0.24,1
56,105595,35659,461,8,4,0.65,1
58,121358,40840,646,9,2,0.74,1
60,99111,36890,660,17,1,0.36,0
40,84929,18598,386,19,2,0.63,1
55,93506,24508,561,12,0,0.73,1
45,54911,47287,513,7,2,0.69,1
55,107127,18380,561,6,3,0.23,1
45,51821,31984,582,16,0,0.77,1
49,95039,49633,766,20,4,0.36,1
38,80535,13125,679,22,3,0.34,1
38,133453,41059,661,14,1,0.14,0
22,104458,9033,748,19,1,0.44,0
55,32175,42873,740,14,1,0.18,0
36,139235,22087,392,0,3,0.27,1
61,74771,45901,723,24,3,0.32,1
56,126660,10704,441,13,3,0.67,1
53,147157,12848,590,4,0,0.71,1
24,141300,26592,731,10,0,0.31,0
53,106925,11924,348,15,1,0.7,1
34,133374,32208,601,1,2,0.7,1
41,86358,24614,489,7,1,0.64,1
40,37327,5488,435,10,4,0.2,1
28,67057,44882,703,28,0,0.58,1
27,26150,30923,640,17,3,0.76,1
23,24425,40941,617,2,0,0.58,1
37,143654,34165,662,29,3,0.33,1
53,36032,6667,681,25,4,0.45,1
32,22198,31213,532,0,4,0.55,1
42,80500,9114,643,10,0,0.46,0
42,73394,41321,848,15,3,0.18,1
50,40079,12761,828,17,4,0.32,1
58,56220,36116,482,29,1,0.66,1
58,61874,38768,340,15,1,0.7,1
28,33859,30426,696,22,3,0.2,1
47,70460,22772,793,9,0,0.77,1
47,51419,43218,632,17,4,0.33,1
54,138865,8712,426,5,0,0.56,1
41,28705,6367,300,18,1,0.63,1
50,62880,45957,467,3,4,0.67,1
53,149838,46781,318,26,0,0.76,1
48,43236,31200,631,12,2,0.32,1
53,107955,8726,755,23,3,0.7,1
25,105514,28616,408,13,3,0.19,1
39,123145,32723,567,2,2,0.59,1
24,35358,42574,744,9,1,0.62,1
55,119713,39958,539,5,4,0.57,1
37,114914,14108,600,0,3,0.28,1
64,122870,17178,402,22,2,0.71,1
48,96918,40643,549,23,2,0.22,1
50,139179,36324,752,26,1,0.14,0
49,136243,43360,819,13,1,0.6,1
26,34596,22824,452,7,0,0.43,1
55,53572,13927,473,18,3,0.69,1
61,98757,33144,642,13,0,0.37,0
57,21279,36010,730,9,2,0.22,1
44,83197,27443,623,16,4,0.69,1
49,131496,19437,719,8,4,0.48,1
51,82516,49298,784,28,1,0.23,0
55,27083,44778,711,5,4,0.6,1
53,140674,16207,383,10,4,0.46,1
41,140307,30537,412,24,4,0.52,1
52,146457,40757,631,6,2,0.42,1
43,129397,17040,677,16,4,0.68,1
53,37771,46986,340,27,4,0.68,1
23,49975,27612,404,27,4,0.6,1
38,65648,33441,501,0,0,0.17,1
45,145641,11471,749,21,2,0.69,1
62,68285,40631,565,4,1,0.57,1
51,39063,48461,509,8,0,0.59,1
23,87642,31523,417,17,3,0.35,1
60,110093,36348,676,23,2,0.72,1
44,134390,6177,839,26,2,0.61,1
52,106143,9760,383,20,3,0.18,1
42,57599,37779,753,1,3,0.39,1
43,71920,26636,813,28,3,0.72,1
22,48529,21353,686,25,1,0.13,0
47,55954,16556,649,10,4,0.77,1
62,47856,32598,595,26,2,0.58,1
22,22573,16563,557,27,4,0.54,1
46,98344,48790,380,5,4,0.29,1
37,55367,13234,567,25,3,0.27,1
60,122337,30519,718,7,1,0.76,1
53,126732,31966,534,3,0,0.31,1
29,119608,21173,610,17,1,0.64,1
63,80774,31987,656,27,4,0.38,1
59,43752,18178,512,10,1,0.2,1
49,75029,44338,348,4,3,0.11,1
62,37685,29596,426,14,0,0.48,1
46,71693,38174,522,27,3,0.78,1
55,136739,46974,578,17,0,0.36,1
45,75961,9431,707,1,4,0.35,1
44,126937,32764,804,21,0,0.34,0
33,144956,26627,593,10,0,0.46,1
27,96908,44310,576,25,0,0.41,1
56,145537,13906,737,24,1,0.72,1
40,146678,41914,406,12,1,0.45,1
21,94532,49814,719,3,4,0.46,1
28,101994,18076,728,21,0,0.2,0
36,76133,42650,674,6,2,0.79,1
34,117425,11012,372,28,4,0.27,1
32,145055,12151,329,10,0,0.15,1
43,81268,33211,487,21,0,0.56,1
35,112201,32117,663,23,1,0.52,1
48,58243,41378,750,3,4,0.39,1
54,77384,47652,494,27,0,0.4,1
22,51653,11894,455,14,0,0.65,1
52,46657,18467,471,0,4,0.24,1
43,59952,36010,340,22,2,0.67,1
42,42180,47641,362,2,4,0.55,1
45,117432,17289,322,13,4,0.39,1
42,141829,49976,659,5,2,0.42,1
42,148377,48596,374,17,4,0.28,1
62,98411,28171,417,24,0,0.63,1
26,21622,39905,679,0,4,0.46,1
35,68756,25829,589,5,2,0.32,1
63,60809,39054,739,5,3,0.52,1
57,36725,49139,306,20,4,0.8,1
53,81396,34734,495,15,1,0.4,1
28,71226,12052,720,28,0,0.74,1
64,126296,8654,492,4,0,0.34,1
64,101182,28486,447,16,1,0.14,1
25,102565,23743,501,9,1,0.24,1
59,49402,29489,743,27,4,0.39,1
24,24263,13636,718,20,1,0.25,0
26,143489,11441,726,17,3,0.1,1
52,116523,29611,778,6,2,0.74,1
50,66828,47435,774,2,1,0.69,1
55,140824,17149,425,12,1,0.62,1
60,67924,39566,694,14,3,0.22,1
36,94182,47368,624,19,0,0.18,0
33,113065,26675,691,18,0,0.15,0
62,79052,10495,739,2,4,0.61,1
50,31664,47668,503,3,3,0.75,1
39,55737,18673,785,4,2,0.4,1
37,121332,16130,330,0,2,0.18,1
39,109563,27668,687,3,3,0.46,1
48,49373,20222,733,11,2,0.34,1
46,137369,28669,675,27,0,0.36,0
57,56397,39068,643,26,2,0.53,1
46,148575,28253,742,23,2,0.6,1
43,106145,14435,374,9,3,0.18,1
29,121371,33552,454,22,3,0.12,1
32,58709,42384,729,24,2,0.8,1
21,136074,21393,662,20,1,0.26,0
21,81120,15617,747,28,3,0.14,1
54,39250,43520,533,25,4,0.23,1
52,41172,14852,561,19,4,0.13,1
45,31555,36401,424,23,0,0.37,1
60,107410,11295,544,24,2,0.66,1
21,98617,40993,841,12,1,0.34,0
36,73276,39084,784,22,0,0.41,0
59,77492,44575,421,13,2,0.57,1
25,73002,41451,424,22,3,0.46,1
42,140103,12227,848,4,4,0.7,1
49,144938,36910,469,3,1,0.71,1
23,109599,41041,423,13,4,0.11,1
32,92355,28384,334,9,3,0.64,1
46,111248,5145,386,16,2,0.42,1
36,44762,42778,500,9,3,0.79,1
57,31046,21035,668,25,3,0.44,1
42,116999,8040,376,6,4,0.79,1
49,144130,47422,358,15,1,0.63,1
34,136021,31160,730,0,3,0.27,1
48,48769,22633,799,16,4,0.48,1
25,73302,34344,408,20,1,0.79,1
50,43150,22014,577,28,2,0.7,1
25,88247,19996,367,8,2,0.17,1
32,24853,46621,368,5,0,0.59,1
36,114613,16695,464,18,4,0.34,1
46,140900,7852,788,12,1,0.1,0
46,109399,21014,604,2,3,0.38,1
41,41792,32042,664,6,2,0.26,1
59,79129,38755,678,21,1,0.67,1
56,126019,45390,642,8,4,0.34,1
53,94478,28711,653,21,0,0.68,1
50,133811,31122,715,4,2,0.1,1
57,134130,14160,408,9,1,0.32,1
43,87298,32213,796,22,1,0.27,0
30,51987,44420,640,16,1,0.26,0
25,35850,12421,682,11,4,0.15,1
56,32112,26400,832,22,4,0.23,1
54,141789,38537,599,15,4,0.49,1
51,44058,22727,438,2,3,0.3,1
30,65420,9358,658,29,1,0.39,0
39,58890,33482,798,24,2,0.36,1
52,86017,37117,684,21,4,0.71,1
21,67304,28164,579,8,4,0.73,1
25,52921,36910,782,28,1,0.45,0
24,125921,37496,410,14,4,0.33,1
36,21524,49311,438,4,3,0.17,1
44,120424,34371,734,22,3,0.77,1
36,35048,43467,808,12,4,0.14,1
22,55111,22625,572,13,1,0.31,1
48,57904,38893,398,19,1,0.31,1
52,74912,15793,403,14,1,0.32,1
47,54008,36007,513,15,0,0.22,1
40,20060,30766,464,22,4,0.65,1
44,94666,44532,819,12,1,0.19,0
32,103559,17323,583,16,3,0.54,1
55,75337,12843,816,22,2,0.19,1
53,130616,19210,463,7,2,0.15,1
53,33350,21456,363,20,1,0.74,1
63,44354,36367,390,1,2,0.23,1
57,65186,15106,416,4,2,0.67,1
32,48145,42957,566,5,0,0.48,1
23,54020,7472,439,11,3,0.15,1
21,106123,11704,545,17,3,0.77,1
53,126667,8713,694,29,0,0.27,0
60,95186,10051,786,21,0,0.7,1
30,105469,15756,775,21,2,0.22,1
63,40581,7475,816,0,4,0.7,1
64,108929,41378,483,29,2,0.11,1
49,43051,9255,319,16,0,0.46,1
33,71474,19484,823,29,3,0.64,1
32,111748,39503,828,10,2,0.75,1
51,145995,13258,446,9,4,0.74,1
22,134618,45747,603,18,2,0.67,1
55,89626,40196,527,13,1,0.72,1
43,26960,45194,401,25,2,0.24,1
37,55772,13533,716,9,0,0.3,0
46,41520,37581,515,14,3,0.3,1
28,69481,10249,706,27,3,0.36,1
49,56408,24201,698,18,0,0.38,0
46,114006,14686,798,3,1,0.48,0
30,148496,37007,764,1,0,0.21,0
46,77134,5661,381,8,2,0.58,1
54,40491,49843,664,9,0,0.22,0
61,21341,35137,462,27,0,0.32,1
27,64623,47828,347,10,1,0.45,1
24,110327,15526,810,13,2,0.66,1
31,20338,8374,628,6,4,0.62,1
49,91431,30592,415,22,4,0.55,1
56,32254,33982,636,14,3,0.21,1
45,71860,5207,446,21,0,0.48,1
41,31344,40433,622,18,3,0.16,1
56,21750,28197,742,21,1,0.36,0
30,74756,38400,312,14,4,0.39,1
57,87957,8083,793,29,0,0.13,0
29,125423,34328,586,27,1,0.29,1
44,78053,47891,413,23,1,0.77,1
55,90855,25103,779,7,0,0.77,1
55,35896,44891,321,10,1,0.35,1
56,75761,15754,648,28,0,0.13,0
38,82552,39447,619,8,0,0.23,0
59,140075,20901,425,14,2,0.37,1
52,97454,38004,576,0,3,0.76,1
44,146522,12446,503,29,1,0.2,1
43,138681,42211,493,0,1,0.63,1
52,110600,34301,846,18,2,0.18,1
57,142732,31116,585,2,2,0.79,1
32,132153,46323,356,9,2,0.37,1
33,142926,23752,602,7,4,0.64,1
43,47935,37376,462,14,4,0.34,1
45,57641,21669,318,9,4,0.54,1
55,49711,37916,669,0,0,0.23,0
61,90342,18395,563,28,1,0.2,1
50,126896,25421,412,17,3,0.76,1
37,32182,31342,787,1,0,0.74,1
40,107833,9895,626,18,1,0.72,1
45,76276,16023,841,12,1,0.54,1
42,39541,15699,364,21,2,0.67,1
33,114457,14715,591,0,2,0.15,1
39,102310,24169,324,1,0,0.33,1
56,64813,21163,848,28,2,0.32,1
32,57198,10782,300,15,1,0.54,1
61,28820,27641,848,14,2,0.35,1
39,44070,23792,440,12,4,0.2,1
32,89768,40585,487,15,2,0.52,1
29,31122,35682,427,16,1,0.67,1
27,100559,23880,500,20,0,0.37,1
48,93543,43067,426,28,3,0.19,1
34,103441,47685,556,28,2,0.24,1
51,61786,23073,846,6,1,0.27,0
39,114934,41035,493,23,3,0.31,1
36,119804,42174,403,25,3,0.55,1
25,26737,29837,834,16,4,0.52,1
55,56062,22826,564,6,3,0.59,1
32,74237,29981,683,12,1,0.35,0
45,71571,15382,559,4,1,0.68,1
41,45510,9437,713,25,2,0.24,1
56,39426,10435,657,16,2,0.43,1
43,57265,29819,374,2,2,0.66,1
36,37850,41875,654,6,3,0.23,1
59,138249,36982,487,25,3,0.18,1
62,86150,38328,589,16,4,0.72,1
59,107312,17329,344,6,2,0.34,1
34,109613,30169,382,20,0,0.58,1
51,94910,26932,422,0,4,0.12,1
25,72375,39594,657,16,0,0.58,1
55,141826,16421,827,29,3,0.32,1
43,55435,12629,365,16,4,0.14,1
49,116443,13325,674,10,4,0.53,1
63,77132,33495,461,24,1,0.27,1
31,98945,36750,679,26,3,0.37,1
38,102050,34619,657,28,3,0.16,1
32,149828,45461,487,2,4,0.2,1
29,115402,13264,621,14,3,0.31,1
30,22983,17686,749,28,4,0.16,1
64,117241,29226,773,20,1,0.74,1
37,40662,11721,312,10,4,0.1,1
58,43510,25609,483,25,3,0.44,1
27,98187,12373,410,27,3,0.19,1
33,60998,43675,807,15,4,0.32,1
60,76846,33937,589,24,4,0.75,1
62,114071,10656,594,21,4,0.21,1
29,26640,13984,750,27,2,0.78,1
47,64547,34984,514,8,3,0.24,1
22,74620,13286,326,23,3,0.62,1
25,35317,10901,530,23,2,0.48,1
49,135608,36552,620,0,4,0.72,1
57,27564,30709,532,28,1,0.49,1
58,47345,36055,736,24,4,0.47,1
39,133824,42685,832,21,4,0.24,1
28,114223,13429,702,15,2,0.22,1
21,143372,19716,352,8,3,0.74,1
42,99273,16138,612,18,4,0.33,1
37,94859,40298,580,11,3,0.36,1
27,100765,28429,330,18,0,0.63,1
45,130017,10772,636,21,3,0.34,1
24,94038,40732,482,8,1,0.77,1
56,143618,44905,322,6,1,0.62,1
26,72393,22347,843,13,4,0.52,1
51,86081,21920,745,28,3,0.72,1
39,145341,36822,373,18,4,0.13,1
64,122650,45108,309,18,2,0.28,1
59,49430,28563,783,1,1,0.43,0
47,95532,12967,755,8,4,0.26,1
30,47788,16871,459,12,2,0.62,1
46,115505,33763,313,14,4,0.74,1
39,68543,16916,477,2,3,0.4,1
59,33919,13734,711,10,3,0.34,1
23,89346,38613,352,20,3,0.77,1
33,116122,33179,707,13,3,0.41,1
48,59974,40262,321,29,0,0.44,1
40,127309,17677,329,24,2,0.35,1
48,36371,23268,559,7,2,0.74,1
28,65084,17330,504,17,3,0.5,1
61,49629,25733,358,18,0,0.63,1
59,71184,42947,770,15,3,0.67,1
21,81916,32286,765,1,0,0.34,0
23,147293,11610,311,7,3,0.4,1
33,93972,11430,589,21,1,0.69,1
48,82187,44922,653,5,1,0.35,0
45,32984,18828,374,11,4,0.66,1
53,53039,47913,740,14,3,0.76,1
58,105431,36497,540,24,2,0.54,1
26,103691,44256,453,7,4,0.62,1
64,78606,41618,395,3,1,0.66,1
52,30616,31526,593,14,3,0.69,1
41,122665,35158,508,27,4,0.38,1
36,125373,30032,642,19,3,0.14,1
41,70072,42846,387,24,1,0.38,1
31,44574,49936,689,16,4,0.57,1
57,23430,34794,624,12,1,0.42,0
56,139123,10448,456,17,0,0.62,1
55,32676,33861,436,1,1,0.35,1
39,30816,33141,727,12,3,0.54,1
40,52733,14074,751,12,2,0.23,1
38,105680,11406,440,21,1,0.62,1
61,22050,36823,382,14,2,0.48,1
34,129996,28291,476,19,0,0.24,1
35,53933,46568,497,28,4,0.3,1
51,44951,37003,720,26,4,0.62,1
21,52413,39406,700,9,2,0.44,1
23,54801,28312,770,28,4,0.25,1
36,75619,48108,517,2,1,0.78,1
43,52913,6382,474,18,2,0.6,1
31,132573,39171,322,2,3,0.77,1
32,139076,46779,534,21,1,0.4,1
30,60600,8292,312,13,1,0.43,1
52,77775,46779,400,7,1,0.73,1
36,110816,38187,835,26,3,0.47,1
28,149972,17411,822,22,0,0.6,1
58,110093,42285,751,29,4,0.28,1
32,132590,20422,730,3,2,0.41,1
44,55400,47468,832,26,0,0.19,0
48,24494,37371,592,27,2,0.24,1
28,100688,10693,400,19,4,0.1,1
48,142744,38535,801,10,3,0.13,1
56,109431,19818,603,25,1,0.78,1
46,94691,36238,839,10,1,0.27,0
28,117419,35874,654,26,3,0.56,1
48,128730,31715,602,29,0,0.69,1
48,63001,32605,795,10,0,0.49,0
57,87364,39317,526,1,2,0.21,1
61,144988,36174,535,29,3,0.61,1
56,65028,14956,754,16,0,0.52,1
47,127434,43908,312,8,3,0.61,1
37,117659,15837,509,27,4,0.64,1
29,57573,8716,696,27,1,0.78,1
53,20806,9481,399,1,1,0.5,1
40,144343,29282,330,28,1,0.34,1
33,76638,11548,827,23,3,0.55,1
48,148301,42605,628,14,3,0.15,1
49,146295,12758,465,15,2,0.73,1
33,126506,48668,758,24,1,0.18,0
55,49757,28177,399,3,2,0.33,1
26,54636,29022,472,7,1,0.67,1
38,100097,45761,461,8,2,0.52,1
25,68280,10542,562,25,2,0.38,1
45,44262,30476,573,25,4,0.43,1
22,100435,35784,302,4,2,0.7,1
30,82211,27740,327,15,3,0.34,1
50,74842,29817,625,12,2,0.71,1
25,148583,21052,448,29,1,0.16,1
53,76979,40153,839,6,2,0.64,1
21,134524,5671,787,25,0,0.69,1
38,101470,5163,737,19,1,0.23,0
52,58197,46424,364,16,0,0.4,1
31,61844,49002,655,2,1,0.22,0
41,84754,9795,832,4,3,0.59,1
46,121868,15634,551,18,3,0.47,1
45,54157,9798,534,11,3,0.54,1
42,97129,27420,526,28,0,0.24,1
47,60042,34300,824,26,4,0.25,1
33,81665,29345,612,6,1,0.13,0
53,135512,15749,348,27,3,0.33,1
54,136953,43595,417,8,1,0.49,1
61,102856,30121,353,27,0,0.7,1
55,47376,42487,343,5,4,0.57,1
21,129049,33411,352,28,0,0.4,1
41,75554,38361,824,25,1,0.77,1
26,34199,26223,401,16,4,0.6,1
